Time (ns),spi_master_tb.dut.clk_counter
26970000,b1010010
26990000,b1010011
27010000,b1010100
27030000,b1010101
27050000,b1010110
27070000,b1010111
27090000,b1011000
27110000,b1011001
27130000,b1011010
27150000,b1011011
27170000,b1011100
27190000,b1011101
27210000,b1011110
27230000,b1011111
27250000,b1100000
27270000,b1100001
27290000,b1100010
27310000,b1100011
27330000,b1100100
27350000,b1100101
27370000,b1100110
27390000,b1100111
27410000,b1101000
27430000,b1101001
27450000,b1101010
27470000,b1101011
27490000,b1101100
27510000,b1101101
27530000,b1101110
27550000,b1101111
27570000,b1110000
27590000,b1110001
27610000,b1110010
27630000,b1110011
27650000,b1110100
27670000,b1110101
27690000,b1110110
27710000,b1110111
27730000,b1111000
27750000,b1111001
27770000,b1111010
27790000,b1111011
27810000,b1111100
27830000,b1111101
27850000,b1111110
27870000,b1111111
27890000,b10000000
27910000,b10000001
27930000,b10000010
27950000,b10000011
27970000,b10000100
27990000,b10000101
28010000,b10000110
28030000,b10000111
28050000,b10001000
28070000,b10001001
28090000,b10001010
28110000,b10001011
28130000,b10001100
28150000,b10001101
28170000,b10001110
28190000,b10001111
28210000,b10010000
28230000,b10010001
28250000,b10010010
28270000,b10010011
28290000,b10010100
28310000,b10010101
28330000,b10010110
28350000,b10010111
28370000,b10011000
28390000,b10011001
28410000,b10011010
28430000,b10011011
28450000,b10011100
28470000,b10011101
28490000,b10011110
28510000,b10011111
28530000,b10100000
28550000,b10100001
28570000,b10100010
28590000,b10100011
28610000,b10100100
28630000,b10100101
28650000,b10100110
28670000,b10100111
28690000,b10101000
28710000,b10101001
28730000,b10101010
28750000,b10101011
28770000,b10101100
28790000,b10101101
28810000,b10101110
28830000,b10101111
28850000,b10110000
28870000,b10110001
28890000,b10110010
28910000,b10110011
28930000,b10110100
28950000,b10110101
28970000,b10110110
28990000,b10110111
29010000,b10111000
29030000,b10111001
29050000,b10111010
29070000,b10111011
29090000,b10111100
29110000,b10111101
29130000,b10111110
29150000,b10111111
29170000,b11000000
29190000,b11000001
29210000,b11000010
29230000,b11000011
29250000,b11000100
29270000,b11000101
29290000,b11000110
29310000,b11000111
29330000,b11001000
29350000,b11001001
29370000,b11001010
29390000,b11001011
29410000,b11001100
29430000,b11001101
29450000,b11001110
29470000,b11001111
29490000,b11010000
29510000,b11010001
29530000,b11010010
29550000,b11010011
29570000,b11010100
29590000,b11010101
29610000,b11010110
29630000,b11010111
29650000,b11011000
29670000,b11011001
29690000,b11011010
29710000,b11011011
29730000,b11011100
29750000,b11011101
29770000,b11011110
29790000,b11011111
29810000,b11100000
29830000,b11100001
29850000,b11100010
29870000,b11100011
29890000,b11100100
29910000,b11100101
29930000,b11100110
29950000,b11100111
29970000,b11101000
29990000,b11101001
30010000,b11101010
30030000,b11101011
30050000,b11101100
30070000,b11101101
30090000,b11101110
30110000,b11101111
30130000,b11110000
30150000,b11110001
